time,pos,bid,score,first,trump,tricks
1539952111,1,1,0,0,D,"H3,D2,D3,D7;H8,S3,C8,HA;S4,SK,S7,C5"
1539952111,1,0,0,3,H,"D5,D9,D10,D4;CJ,HJ,H10,H5;D3,DQ,CK,D7;SQ,S2,H8,C6"
1539952111,1,1,0,2,S,"D4,HK,H4,H8;C9,HQ,H5,DQ;C2,H3,H7,C4;S9,D2,DA,S6;CA,S5,D7,S2"
1539952111,1,1,11,1,S,"SJ,HQ,H7,H3;D6,DA,D9,DK;S2,H10,H6,H4;C8,C3,C10,CQ;S4,D3,S6,C5;S3,H9,S9,SA"
1539952111,1,1,11,0,C,"H5,H7,H8,HA;HQ,C2,H4,H2;C9,D9,D7,D10;H10,SA,C6,D5;CA,D2,SK,S3;CK,C7,S7,C3;CQ,D3,S10,S5"
1539952111,1,0,0,3,S,"HK,H3,H2,H4;H9,D6,HJ,DQ;H6,D7,HQ,DJ;D4,S2,DA,D5;C7,C8,S5,C9;SJ,S9,SQ,S3;D9,C6,S10,S8;D8,C4,S6,C3"
1539952111,1,4,0,2,H,"H3,HK,H2,HA;D5,DA,D10,D9;D6,DK,S2,D8;D7,DJ,HQ,C5;H9,S10,HJ,CJ;C4,C7,H4,C6;C8,C9,C2,CA;C10,CK,S7,C3;SA,SJ,S9,S8"
1539952111,1,1,0,1,D,"HA,H4,H9,HQ;H8,H10,S4,H2;H3,HJ,DQ,H7;DA,D4,DK,D6;H5,H6,C7,SA;D2,D10,DJ,D7;S5,CJ,C2,C5;S3,C6,S8,C9;S9,SQ,SK,S10;D5,SJ,S7,S2"
1539952111,1,2,0,0,S,"H9,HJ,HA,H2;DK,H8,H10,HK;D8,DJ,H4,H7;D3,D2,D4,DA;D10,S2,D9,DQ;CA,C7,C9,CJ;C10,C3,C2,C6;C8,C4,H5,D6;C5,S4,S6,SQ;S3,SK,S9,D5;S8,SJ,S7,S5"
1539952111,1,4,0,3,H,"H3,HQ,D2,HK;CA,H2,C5,HA;SJ,H9,D4,HJ;D9,H10,S7,H8;DJ,DQ,DA,D3;C4,D5,DK,D8;C8,D7,D6,SA;C3,D10,SQ,S10;C6,CK,C2,H5;S2,CJ,S4,SK;S3,C7,S6,S8;C10,C9,CQ,S5"
1539952111,1,0,0,0,C,"H2,H8,H10,HQ;D10,H3,HK,HJ;D4,D2,H7,H9;DQ,D3,D6,DJ;DK,D9,C7,D8;D5,CQ,H6,C10;CK,CJ,C3,C4;C8,S8,S5,C9;C5,SJ,H4,C6;SA,S3,S7,SK;S9,SQ,H5,S2"
1539952111,1,2,12,1,D,"H3,HA,H9,HQ;HJ,H8,H6,H10;D9,D10,DJ,D2;D6,C7,DA,D7;C2,C4,D8,H4;S6,H2,D5,S7;C10,H7,D4,SQ;CJ,C9,CA,C6;S2,CQ,C3,C8;S10,S5,SA,S8"
1539952111,1,4,0,2,H,"HJ,HA,H3,H9;H6,HQ,HK,H4;CA,H2,H8,D10;D4,DK,DQ,D3;DJ,D9,D8,C7;D7,CJ,S6,S9;C8,S10,S3,C3;SK,SA,S2,C4;S7,S4,S5,C5"
1539952111,1,0,0,3,D,"HA,H3,HQ,H4;H8,HJ,D9,H10;DA,D2,D6,DJ;D7,D4,D3,DK;CQ,C7,C3,C9;C6,S3,CJ,S8;S7,D5,C5,SJ;S9,H5,S10,S5"
1539952111,1,3,13,0,C,"H2,HA,H8,H4;DK,DA,S5,D9;SA,D8,C6,S7;H10,C2,HQ,HJ;C5,D7,SQ,CA;S4,SK,C3,S9;CK,S2,C9,S8"
1539952111,1,0,0,1,C,"HJ,HQ,H3,H7;D5,D9,DA,D2;HK,C4,H2,SA;DQ,D8,D10,D3;S7,SQ,SK,S10;S3,S2,C6,CQ"
1539952111,1,2,0,2,H,"HJ,H10,S4,HA;D4,D3,D6,DA;C2,CK,D9,DK;S3,S2,S9,SQ;S6,S8,CA,S5"
1539952111,1,1,0,3,C,"HA,H10,H7,H4;D6,DJ,S3,DA;CA,HK,C4,C7;S6,D4,C8,S4"
1539952111,1,1,11,0,C,"D4,H8,D8,HJ;C2,CK,D2,H5;SK,S10,SQ,SA"
